user_id,R,K,logN
1,0.546666666666667,0.411180904522613,0.7573773759923186
2,0.6222222222222223,0.5343383584589615,0.8488138712368479
3,0.4083333333333334,0.45552763819095476,0.7649919260047716
4,0.6444444444444445,0.76214405360134,0.8189576056234541
5,0.5483333333333333,0.4028894472361809,0.8007669149933028
7,0.5333333333333334,0.3777638190954774,0.8456347919225239
8,0.7895833333333336,0.6603329145728642,0.9391227986526943
9,0.6700000000000005,0.5989949748743719,0.6534742788431276
10,0.5466666666666669,0.5055276381909548,0.8601705619411293
11,0.6350000000000002,0.5829145728643217,0.8236130656034897
12,0.5883333333333335,0.41381909547738693,0.8497676313678548
14,0.7333333333333334,0.5611390284757118,0.783543648626479
15,0.5000000000000001,0.6080402010050251,0.6763684567047382
16,0.5716666666666669,0.5157035175879396,0.7385058350544275
17,0.5516666666666669,0.5659547738693466,0.7355198846587326
18,0.45,0.6268844221105527,0.9319004511819938
19,0.28888888888888903,0.644891122278057,0.8017686055261409
20,0.6050000000000002,0.5311557788944723,0.8270877771095517
21,0.5933333333333335,0.5314070351758795,0.824511508360487
22,0.6050000000000002,0.47236180904522607,0.8660244764245603
23,0.7666666666666667,0.5276381909547739,0.8083333947041853
24,0.58,0.3939698492462312,0.8835175973822542
25,0.6030303030303031,0.7087711283691184,0.759317885273127
27,0.49411764705882366,0.38678687555424185,0.7730347039010803
29,0.6283333333333336,0.5594221105527637,0.8516095516775666
30,0.6633333333333334,0.446356783919598,0.862478894823208
31,0.9000000000000001,0.46482412060301503,0.983588213136549
32,0.688888888888889,0.7738693467336684,0.9892808729455188
33,0.6545454545454547,0.5100502512562813,0.740597281315885
35,0.7283333333333335,0.5035175879396985,0.8527437119469253
36,0.577777777777778,0.20938023450586263,0.8893842734311095
37,0.4816666666666668,0.5409547738693468,0.8632955923082131
38,0.4888888888888891,0.254606365159129,0.8177770108713188
39,0.68,0.5816582914572864,0.8018206656247784
41,0.6633333333333334,0.6316582914572864,0.8364638938321196
42,0.6533333333333333,0.6263819095477385,0.7640126637851495
43,0.5555555555555557,0.5385259631490787,0.8552035746985636
44,0.4333333333333335,0.620603015075377,0.8361836684362658
45,0.5190476190476192,0.4231873653984207,0.8827294095300362
46,0.6000000000000003,0.5826633165829145,0.8278635114010153
47,0.6333333333333334,0.6444723618090452,0.8875711209780865
48,0.7883333333333336,0.46457286432160805,0.796111417953115
49,0.44833333333333336,0.5687185929648242,0.8032794959122466
50,0.6833333333333335,0.5087939698492462,0.8652244718315037
51,0.5866666666666668,0.4858040201005026,0.838302009018908
52,0.5850000000000001,0.48819095477386937,0.8321021709118815
